endpoint_name,input_name,n,n_events,n_high_risk,pct_high_risk,estimate,se,pvalue,Q_het,pval_het,cohort,signif_het,n_female,n_male,n_total
Intracerebral hemorrhage,Age + sex + biomarkers,260768,247,23764,0.09113081359676034,0.8226636886005373,0.1773697886294801,3.5157994210133922e-6,NA,NA,,NA,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,260768,247,23764,0.09113081359676034,0.8226636886005373,0.1773697886294801,3.5157994210133922e-6,NA,NA,UK Biobank,NA,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,32093,47,3092,0.09634499735144736,1.5058550776379127,0.33810230072080516,8.43461922195099e-6,NA,NA,THL Biobank,NA,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,186747,109,14977,0.08019941418068295,0.805482876089421,0.2669383395504025,0.00254880267039245,NA,NA,Estonian Biobank,NA,283403,198275,481678
Lung cancer,Age + sex + biomarkers,479007,932,42372,0.0884579974822915,1.3304457100379141,0.07836585284076324,1.2078810533576393e-64,11.370331272229995,0.003395970707649991,Meta-analysis,1,283403,198275,481678
Lung cancer,Age + sex + biomarkers,260874,700,23378,0.08961414322623182,1.4584750973733636,0.08851177748646753,5.302015146505251e-61,NA,NA,,NA,283403,198275,481678
Lung cancer,Age + sex + biomarkers,260874,700,23378,0.08961414322623182,1.4584750973733636,0.08851177748646753,5.302015146505251e-61,NA,NA,UK Biobank,NA,283403,198275,481678
Lung cancer,Age + sex + biomarkers,32028,48,5562,0.1736605470213563,0.42714516081638687,0.3774521999113515,0.25778007388537294,NA,NA,THL Biobank,NA,283403,198275,481678
Lung cancer,Age + sex + biomarkers,186105,184,13432,0.07217431020123048,0.9754212911890752,0.1884038748955379,2.2513344898641414e-7,NA,NA,Estonian Biobank,NA,283403,198275,481678
Type 2 diabetes,Age + sex + biomarkers,454414,3628,38318,0.0843239864968949,2.268023860135993,0.03667100156994594,0,0.781440068416304,0.6765695458553629,Meta-analysis,0,283403,198275,481678
Type 2 diabetes,Age + sex + biomarkers,247465,2197,22922,0.0926272402157881,2.241621220561914,0.04831036885463553,0,NA,NA,,NA,283403,198275,481678
Type 2 diabetes,Age + sex + biomarkers,247465,2197,22922,0.0926272402157881,2.241621220561914,0.04831036885463553,0,NA,NA,UK Biobank,NA,283403,198275,481678
Type 2 diabetes,Age + sex + biomarkers,29906,484,1819,0.06082391493345817,2.326277915622644,0.09845019546128966,1.9416112680849294e-123,NA,NA,THL Biobank,NA,283403,198275,481678
Type 2 diabetes,Age + sex + biomarkers,177043,947,13577,0.07668758437215818,2.29303735055017,0.06868291601291038,2.2001861528661434e-244,NA,NA,Estonian Biobank,NA,283403,198275,481678
Chronic obstructive pulmonary disease,Age + sex + biomarkers,459884,2875,33642,0.07315322994494264,1.437519078840939,0.04454176859572996,1.6467103954360476e-228,19.17493877288886,6.858275865066832e-5,Meta-analysis,1,283403,198275,481678
Chronic obstructive pulmonary disease,Age + sex + biomarkers,256123,2036,22940,0.08956634117201501,1.5358783671207084,0.049920585438392256,7.372213575745749e-208,NA,NA,,NA,283403,198275,481678
Chronic obstructive pulmonary disease,Age + sex + biomarkers,256123,2036,22940,0.08956634117201501,1.5358783671207084,0.049920585438392256,7.372213575745749e-208,NA,NA,UK Biobank,NA,283403,198275,481678
Chronic obstructive pulmonary disease,Age + sex + biomarkers,31766,168,2942,0.09261474532519046,1.113551398635821,0.19145816685940956,6.021470788704904e-9,NA,NA,THL Biobank,NA,283403,198275,481678
Chronic obstructive pulmonary disease,Age + sex + biomarkers,171995,671,7760,0.04511759062763453,1.0317349582265505,0.11509778773712669,3.1314875334176875e-19,NA,NA,Estonian Biobank,NA,283403,198275,481678
Alzheimer's disease,Age + sex + biomarkers,445458,161,46381,0.10411980478518738,0.9287973934210783,0.2220838069735568,2.887104322802376e-5,2.6397591971941146,0.10421933954699436,Meta-analysis,0,283403,198275,481678
Alzheimer's disease,Age + sex + biomarkers,261126,106,24557,0.09404272267028178,0.580187263092771,0.30880274837859867,0.060267976770424996,NA,NA,,NA,283403,198275,481678
Alzheimer's disease,Age + sex + biomarkers,261126,106,24557,0.09404272267028178,0.580187263092771,0.30880274837859867,0.060267976770424996,NA,NA,UK Biobank,NA,283403,198275,481678
Alzheimer's disease,Age + sex + biomarkers,184332,55,21824,0.11839506976542326,1.3022694348511932,0.3196246041194511,4.613874472604629e-5,NA,NA,Estonian Biobank,NA,283403,198275,481678
Vascular and other dementia,Age + sex + biomarkers,478893,431,45652,0.09532818395758552,1.065401128904109,0.11260590065225522,3.0406269383186314e-21,0.7353213231685836,0.6923520834899975,Meta-analysis,0,283403,198275,481678
Vascular and other dementia,Age + sex + biomarkers,261034,225,23619,0.09048246588567006,1.077369449385082,0.1690445575521627,1.8501940512515233e-10,NA,NA,,NA,283403,198275,481678
Vascular and other dementia,Age + sex + biomarkers,261034,225,23619,0.09048246588567006,1.077369449385082,0.1690445575521627,1.8501940512515233e-10,NA,NA,UK Biobank,NA,283403,198275,481678
Vascular and other dementia,Age + sex + biomarkers,32006,24,5706,0.17827907267387366,0.6879382985304883,0.4573448891737813,0.13252981234736813,NA,NA,THL Biobank,NA,283403,198275,481678
Vascular and other dementia,Age + sex + biomarkers,185853,182,16327,0.08784899894002249,1.1008539663202197,0.15994668302176343,5.875717259717795e-12,NA,NA,Estonian Biobank,NA,283403,198275,481678
Depressive disorders,Age + sex + biomarkers,405477,5515,31220,0.0769957358863758,0.5982741930286102,0.0432708677610396,1.7699033058726391e-43,32.44545730028319,1.2258517385970745e-8,Meta-analysis,1,283403,198275,481678
Depressive disorders,Age + sex + biomarkers,239107,2751,21410,0.08954150233995659,0.7716617638485643,0.0529050666996073,3.4593570122215873e-48,NA,NA,,NA,283403,198275,481678
Depressive disorders,Age + sex + biomarkers,239107,2751,21410,0.08954150233995659,0.7716617638485643,0.0529050666996073,3.4593570122215873e-48,NA,NA,UK Biobank,NA,283403,198275,481678
Depressive disorders,Age + sex + biomarkers,166370,2764,9810,0.05896495762457174,0.2479040044211526,0.07520589060964669,9.795423091493389e-4,NA,NA,Estonian Biobank,NA,283403,198275,481678
Alcoholic liver disease,Age + sex + biomarkers,478018,340,50643,0.10594370923270671,2.6476010629412623,0.12536863381599211,5.374308242779946e-99,13.635404166626579,0.0010942324905862312,Meta-analysis,1,283403,198275,481678
Alcoholic liver disease,Age + sex + biomarkers,260767,197,23948,0.09183677382490883,3.0573610901294415,0.17212826128892864,1.3891319460835852e-70,NA,NA,,NA,283403,198275,481678
Alcoholic liver disease,Age + sex + biomarkers,260767,197,23948,0.09183677382490883,3.0573610901294415,0.17212826128892864,1.3891319460835852e-70,NA,NA,UK Biobank,NA,283403,198275,481678
Alcoholic liver disease,Age + sex + biomarkers,31939,33,4218,0.132064247471743,2.6348613761971493,0.40368882419817903,6.711733113442216e-11,NA,NA,THL Biobank,NA,283403,198275,481678
Alcoholic liver disease,Age + sex + biomarkers,185312,110,22477,0.12129273873251598,2.068235716687557,0.20525538026924503,7.025166531433617e-24,NA,NA,Estonian Biobank,NA,283403,198275,481678
Cirrhosis of the liver,Age + sex + biomarkers,446330,285,37364,0.0837138440167589,2.5677792588821813,0.1376882834759874,1.2813002052860077e-77,0.010632506808022824,0.9178724560987332,Meta-analysis,0,283403,198275,481678
Cirrhosis of the liver,Age + sex + biomarkers,260762,214,23819,0.09134383077288868,2.5584574614856095,0.1647140780517113,2.0835541377583858e-54,NA,NA,,NA,283403,198275,481678
Cirrhosis of the liver,Age + sex + biomarkers,260762,214,23819,0.09134383077288868,2.5584574614856095,0.1647140780517113,2.0835541377583858e-54,NA,NA,UK Biobank,NA,283403,198275,481678
Cirrhosis of the liver,Age + sex + biomarkers,185568,71,13545,0.07299211070874288,2.589402957581249,0.25086835417511866,5.618365440711718e-25,NA,NA,Estonian Biobank,NA,283403,198275,481678
Colon and rectum cancers,Age + sex + biomarkers,477585,1429,41921,0.08777704492394024,0.7445112112478243,0.06879521004666149,2.7039691959472582e-27,7.8832973972891285,0.019416176917714127,Meta-analysis,0,283403,198275,481678
Colon and rectum cancers,Age + sex + biomarkers,259642,1070,23916,0.09211144575993098,0.6235509223203871,0.08309348569961629,6.180041297498732e-14,NA,NA,,NA,283403,198275,481678
Colon and rectum cancers,Age + sex + biomarkers,259642,1070,23916,0.09211144575993098,0.6235509223203871,0.08309348569961629,6.180041297498732e-14,NA,NA,UK Biobank,NA,283403,198275,481678
Colon and rectum cancers,Age + sex + biomarkers,32048,60,3634,0.1133924113829256,1.2956279025018398,0.29524655760212676,1.142446867684342e-5,NA,NA,THL Biobank,NA,283403,198275,481678
Colon and rectum cancers,Age + sex + biomarkers,185895,299,14371,0.07730708195486699,0.9481320224563656,0.13485469461004182,2.054003238410327e-12,NA,NA,Estonian Biobank,NA,283403,198275,481678
